id,name,ra,dec,meerkat_observable,max_elevation_deg,in_vlass,has_lotss_match,has_first_match,has_erosita_match,has_parkes_match,parkes_can_map,n_surveys_with_data
2,A2029,227.73,5.72,True,53.57,False,False,False,False,False,False,0
4,A401,44.74,13.58,True,45.71,False,False,False,False,False,False,0
7,A85,10.46,-9.3,True,68.59,True,False,True,False,True,True,3
9,A3667,303.13,-56.83,True,63.88,False,False,False,True,False,True,1
12,A3827,330.48,-59.95,True,60.76,False,False,False,True,False,True,1
14,A3266,67.85,-61.44,True,59.27,False,False,False,True,False,True,1
16,A1651,194.84,-4.19,True,63.48,True,False,True,True,False,True,3
17,A754,137.28,-9.67,True,68.96,True,False,False,True,False,False,2
19,A3571,206.87,-32.85,True,87.86,True,False,False,True,False,True,2
20,A3112,49.49,-44.24,True,76.47,False,False,False,True,True,True,2
24,A399,44.46,13.05,True,46.24,True,False,False,False,False,False,1
25,A2597,351.33,-12.13,True,71.42,True,False,False,False,True,True,2
29,A1650,194.67,-1.76,True,61.05,True,False,True,True,False,True,3
30,A2837,13.19,-80.27,True,40.44,False,False,False,True,False,False,1
31,RXC J1558.3-1410,239.6,-14.17,True,73.46,True,False,False,True,True,True,3
32,A3558,201.99,-31.5,True,89.21,True,False,False,True,False,True,2
36,A3695,308.7,-35.81,True,84.9,True,False,False,False,True,False,2
38,A3921,342.49,-64.43,True,56.28,False,False,False,True,True,True,2
42,A2426,333.64,-10.37,True,69.66,True,False,False,False,False,True,1
43,A3158,55.72,-53.64,True,67.07,False,False,False,True,False,True,1
44,RXC J1217.6+0339,184.42,3.66,True,55.63,True,False,True,True,True,True,4
45,A2811,10.54,-28.54,True,87.83,True,False,False,True,False,True,2
46,A780,139.53,-12.09,True,71.38,True,False,False,True,True,True,3
47,A2420,332.58,-12.18,True,71.47,True,False,False,False,False,True,1
49,A1285,172.58,-14.58,True,73.87,False,False,False,True,False,True,1
51,A3911,341.58,-52.73,True,67.98,False,False,False,True,True,False,2
55,A4010,352.8,-36.51,True,84.2,True,False,False,True,False,True,2
59,A2055,229.69,6.23,True,53.06,True,False,True,False,True,True,3
60,RXC J1539.5-8335,234.89,-83.59,True,37.12,False,False,False,True,False,True,1
63,A1750,202.71,-1.87,True,61.16,True,False,True,True,False,False,3
64,A3822,328.54,-57.86,True,62.85,False,False,False,True,False,False,1
65,A1307,173.22,14.47,True,44.82,True,False,True,True,False,False,3
66,A3814,327.28,-30.7,True,89.99,True,False,False,False,False,True,1
69,A2941,26.26,-53.01,True,67.7,False,False,False,True,False,False,1
72,A2440,335.97,-1.64,True,60.93,True,False,True,False,False,True,2
74,A1644,194.29,-17.4,True,76.69,True,False,False,True,True,True,3
75,A1348,175.35,-12.27,True,71.56,True,False,False,True,True,True,3
77,RBS 1847,334.52,-65.19,True,55.52,False,False,False,True,False,True,1
78,A496,68.41,-13.26,True,72.55,True,False,False,True,True,False,3
79,RXC J2344.2-0422,356.07,-4.37,True,63.66,True,False,True,False,False,True,2
81,RXC J1215.4-3900,183.87,-39.02,True,81.69,True,False,False,True,True,True,3
82,RXC J2313.9-4244,348.49,-42.73,True,77.98,False,False,False,True,True,True,2
83,A2721,1.51,-34.72,True,85.99,True,False,False,True,False,True,2
85,A2351,323.57,-13.48,True,72.77,False,False,False,False,False,False,0
88,RXC J2218.2-0350,334.57,-3.83,True,63.12,True,False,True,False,False,True,2
90,A2443,336.51,17.38,True,41.91,True,True,False,False,False,False,2
93,A2050,229.08,0.1,True,59.19,True,False,True,False,False,True,2
94,APMCC 699,325.99,-56.63,True,64.08,False,False,False,True,True,True,2
95,A1736,201.73,-27.18,True,86.47,True,False,False,True,True,True,3
96,A2384,328.1,-19.57,True,78.86,True,False,False,False,False,False,1
98,A4059,359.26,-34.76,True,85.95,True,False,False,True,True,True,3
100,A3998,350.39,-41.9,True,78.81,False,False,False,True,False,True,1
102,A2703,1.34,16.21,True,43.08,True,False,False,False,False,True,1
107,A2495,342.59,10.9,True,48.39,True,False,True,False,False,True,2
108,A3836,332.35,-51.82,True,68.89,False,False,False,True,False,True,1
109,A2533,346.81,-15.23,True,74.52,True,False,False,False,False,False,1
111,A2556,348.25,-21.63,True,80.92,True,False,False,False,False,False,1
115,MKW 3s,230.46,7.71,True,51.58,True,False,True,False,False,False,2
116,A3126,52.16,-55.71,True,65.0,False,False,False,True,False,True,1
117,A458,56.48,-24.28,True,83.57,True,False,False,True,False,True,2
118,A133,15.68,-21.87,True,81.16,True,False,False,False,False,False,1
119,A2052,229.18,7.02,True,52.27,True,False,True,False,True,False,3
120,A2428,334.06,-9.34,True,68.63,True,False,True,False,False,True,2
121,RXC J0049.4-2931,12.35,-29.52,True,88.81,False,False,False,True,False,True,1
122,A119,14.08,-1.22,True,60.51,True,False,True,False,True,True,3
127,A2554,348.09,-21.5,True,80.79,True,False,False,False,False,False,1
128,A2033,227.85,6.32,True,52.97,True,False,True,False,True,False,3
129,ACOS1111,349.77,-42.11,True,78.6,False,False,False,False,True,True,1
130,A42,7.16,-23.64,True,82.93,True,False,False,False,False,True,1
132,A3395,96.81,-54.47,True,66.24,False,False,False,True,False,False,1
133,A1606,191.16,-11.99,True,71.28,True,False,False,True,False,True,2
136,A2147,240.58,16.02,True,43.27,True,False,True,False,False,True,2
138,A2670,358.56,-10.41,True,69.7,True,False,True,False,False,True,2
139,A3532,194.32,-30.38,True,89.67,True,False,False,True,True,False,3
140,A763,138.12,15.94,True,43.35,True,False,True,False,False,False,2
142,A2051,229.14,0.95,True,58.34,True,False,True,False,False,True,2
147,RXC J0034.6-0208,8.65,-2.14,True,61.43,True,False,True,False,False,True,2
149,A13,3.41,-19.5,True,78.79,False,False,False,False,False,True,0
150,RXC J0034.2-0204,8.56,-2.08,True,61.37,True,False,True,False,False,True,2
152,A4068,359.98,-39.48,True,81.23,True,False,False,True,False,True,2
153,RXC J1139.4-3327,174.86,-33.45,True,87.26,True,False,False,True,False,True,2
154,A2566,349.03,-20.46,True,79.75,True,False,False,False,False,True,1
155,RXC J0351.1-8212,57.79,-82.22,True,38.49,False,False,False,True,False,False,1
163,A2988,33.22,-47.13,True,73.58,False,False,False,True,False,False,1
165,A2871,16.95,-36.73,True,83.98,True,False,False,True,False,True,2
166,RXC J1332.9-2519,203.23,-25.32,True,84.61,True,False,False,False,True,True,2
167,A2063,230.77,8.6,True,50.69,True,False,True,False,False,False,2
170,RX J0820.9+0751,125.26,7.87,True,51.42,True,False,True,True,True,False,4
171,A2415,331.42,-5.59,True,64.88,True,False,True,False,True,True,3
173,A3128,52.5,-52.6,True,68.11,False,False,False,True,False,True,1
174,A1023,157.0,-6.8,True,66.09,True,False,True,True,False,True,3
175,A3528,193.67,-29.22,True,88.51,True,False,False,True,True,False,3
176,A1205,168.34,2.53,True,56.76,True,False,True,True,False,False,3
178,A2734,2.84,-28.86,True,88.15,True,False,False,False,False,True,1
179,A2377,326.48,-10.1,True,69.39,True,False,False,False,False,True,1
180,RBS 0540,66.46,-8.56,True,67.85,True,False,False,True,False,False,2
184,A761,137.65,-10.58,True,69.87,True,False,False,True,True,True,3
187,A4067,359.83,-60.7,True,60.01,False,False,False,False,False,True,0
188,A3825,329.61,-60.4,True,60.31,False,False,False,True,False,True,1
189,A1809,208.25,5.16,True,54.13,True,False,True,True,False,True,3
192,A4038,356.93,-28.14,True,87.43,True,False,False,False,False,False,1
193,A3104,48.58,-45.42,True,75.29,False,False,False,True,False,True,1
195,RXC J2125.2-0657,321.3,-6.97,True,66.26,True,False,True,False,False,True,2
199,A514,72.05,-20.47,True,79.76,True,False,False,True,False,False,2
200,A2589,350.97,16.81,True,42.48,True,True,False,False,False,False,2
201,RXC J1416.8-1158,214.21,-11.98,True,71.27,True,False,False,False,False,False,1
202,RXC J1459.0-0843,224.76,-8.73,True,68.02,True,False,False,True,False,False,2
