id,name,ra,dec,has_parkes_match,n_parkes_sources,n_hipass,n_hipass_n,n_pmn,n_pkscat90,closest_sep_arcmin,closest_catalog,closest_flux,closest_flux_unit
4,A401,44.74,13.58,False,0,0,0,0,0,,,,
7,A85,10.46,-9.3,True,1,0,0,1,0,0.30237102790572906,PMN,,mJy
9,A3667,303.13,-56.83,False,0,0,0,0,0,,,,
12,A3827,330.48,-59.95,False,0,0,0,0,0,,,,
14,A3266,67.85,-61.44,False,0,0,0,0,0,,,,
16,A1651,194.84,-4.19,False,0,0,0,0,0,,,,
17,A754,137.28,-9.67,False,0,0,0,0,0,,,,
19,A3571,206.87,-32.85,False,0,0,0,0,0,,,,
20,A3112,49.49,-44.24,True,2,0,0,1,1,0.11355955436176954,PKSCAT90,0.88,Jy
24,A399,44.46,13.05,False,0,0,0,0,0,,,,
25,A2597,351.33,-12.13,True,2,0,0,1,1,0.3751615182651497,PKSCAT90,0.88,Jy
29,A1650,194.67,-1.76,False,0,0,0,0,0,,,,
30,A2837,13.19,-80.27,False,0,0,0,0,0,,,,
31,RXC J1558.3-1410,239.6,-14.17,True,2,0,0,1,1,0.5398715990787858,PKSCAT90,0.73,Jy
32,A3558,201.99,-31.5,False,0,0,0,0,0,,,,
36,A3695,308.7,-35.81,True,2,0,0,1,1,0.9615060562564018,PKSCAT90,0.93,Jy
38,A3921,342.49,-64.43,True,1,0,0,1,0,1.4053294186476655,PMN,,mJy
42,A2426,333.64,-10.37,False,0,0,0,0,0,,,,
43,A3158,55.72,-53.64,False,0,0,0,0,0,,,,
44,RXC J1217.6+0339,184.42,3.66,True,2,0,0,1,1,1.763134624130892,PKSCAT90,1.19,Jy
45,A2811,10.54,-28.54,False,0,0,0,0,0,,,,
46,A780,139.53,-12.09,True,2,0,0,1,1,0.49292818146646067,PKSCAT90,23.5,Jy
47,A2420,332.58,-12.18,False,0,0,0,0,0,,,,
49,A1285,172.58,-14.58,False,0,0,0,0,0,,,,
51,A3911,341.58,-52.73,True,1,0,0,1,0,1.0730836983461403,PMN,,mJy
55,A4010,352.8,-36.51,False,0,0,0,0,0,,,,
59,A2055,229.69,6.23,True,1,0,0,1,0,0.08315646580173164,PMN,,mJy
60,RXC J1539.5-8335,234.89,-83.59,False,0,0,0,0,0,,,,
63,A1750,202.71,-1.87,False,0,0,0,0,0,,,,
64,A3822,328.54,-57.86,False,0,0,0,0,0,,,,
65,A1307,173.22,14.47,False,0,0,0,0,0,,,,
66,A3814,327.28,-30.7,False,0,0,0,0,0,,,,
69,A2941,26.26,-53.01,False,0,0,0,0,0,,,,
72,A2440,335.97,-1.64,False,0,0,0,0,0,,,,
74,A1644,194.29,-17.4,True,1,0,0,1,0,1.0062450872214648,PMN,,mJy
75,A1348,175.35,-12.27,True,1,0,0,1,0,0.4195213195997005,PMN,,mJy
77,RBS 1847,334.52,-65.19,False,0,0,0,0,0,,,,
78,A496,68.41,-13.26,True,1,0,0,1,0,0.4937541054739616,PMN,,mJy
79,RXC J2344.2-0422,356.07,-4.37,False,0,0,0,0,0,,,,
81,RXC J1215.4-3900,183.87,-39.02,True,1,0,0,1,0,4.242905243410515,PMN,,mJy
82,RXC J2313.9-4244,348.49,-42.73,True,1,0,0,1,0,0.24799774905523483,PMN,,mJy
83,A2721,1.51,-34.72,False,0,0,0,0,0,,,,
85,A2351,323.57,-13.48,False,0,0,0,0,0,,,,
88,RXC J2218.2-0350,334.57,-3.83,False,0,0,0,0,0,,,,
90,A2443,336.51,17.38,False,0,0,0,0,0,,,,
93,A2050,229.08,0.1,False,0,0,0,0,0,,,,
94,APMCC 699,325.99,-56.63,True,1,0,0,1,0,0.9884491988532851,PMN,,mJy
95,A1736,201.73,-27.18,True,1,0,0,1,0,4.2154505132090465,PMN,,mJy
96,A2384,328.1,-19.57,False,0,0,0,0,0,,,,
98,A4059,359.26,-34.76,True,2,0,0,1,1,0.27267984601619194,PKSCAT90,0.35,Jy
100,A3998,350.39,-41.9,False,0,0,0,0,0,,,,
102,A2703,1.34,16.21,False,0,0,0,0,0,,,,
107,A2495,342.59,10.9,False,0,0,0,0,0,,,,
108,A3836,332.35,-51.82,False,0,0,0,0,0,,,,
109,A2533,346.81,-15.23,False,0,0,0,0,0,,,,
111,A2556,348.25,-21.63,False,0,0,0,0,0,,,,
115,MKW 3s,230.46,7.71,False,0,0,0,0,0,,,,
116,A3126,52.16,-55.71,False,0,0,0,0,0,,,,
117,A458,56.48,-24.28,False,0,0,0,0,0,,,,
118,A133,15.68,-21.87,False,0,0,0,0,0,,,,
119,A2052,229.18,7.02,True,2,0,0,1,1,0.33770836257311315,PKSCAT90,2.3,Jy
120,A2428,334.06,-9.34,False,0,0,0,0,0,,,,
121,RXC J0049.4-2931,12.35,-29.52,False,0,0,0,0,0,,,,
122,A119,14.08,-1.22,True,2,0,0,1,1,3.710992550669412,PMN,,mJy
127,A2554,348.09,-21.5,False,0,0,0,0,0,,,,
128,A2033,227.85,6.32,True,1,0,0,1,0,2.016474255573936,PMN,,mJy
129,ACOS1111,349.77,-42.11,True,2,0,0,1,1,0.7848933290679516,PKSCAT90,0.74,Jy
130,A42,7.16,-23.64,False,0,0,0,0,0,,,,
132,A3395,96.81,-54.47,False,0,0,0,0,0,,,,
133,A1606,191.16,-11.99,False,0,0,0,0,0,,,,
136,A2147,240.58,16.02,False,0,0,0,0,0,,,,
138,A2670,358.56,-10.41,False,0,0,0,0,0,,,,
139,A3532,194.32,-30.38,True,2,0,0,1,1,1.5312258424613483,PKSCAT90,0.62,Jy
140,A763,138.12,15.94,False,0,0,0,0,0,,,,
142,A2051,229.14,0.95,False,0,0,0,0,0,,,,
147,RXC J0034.6-0208,8.65,-2.14,False,0,0,0,0,0,,,,
149,A13,3.41,-19.5,False,0,0,0,0,0,,,,
150,RXC J0034.2-0204,8.56,-2.08,False,0,0,0,0,0,,,,
152,A4068,359.98,-39.48,False,0,0,0,0,0,,,,
153,RXC J1139.4-3327,174.86,-33.45,False,0,0,0,0,0,,,,
154,A2566,349.03,-20.46,False,0,0,0,0,0,,,,
155,RXC J0351.1-8212,57.79,-82.22,False,0,0,0,0,0,,,,
163,A2988,33.22,-47.13,False,0,0,0,0,0,,,,
165,A2871,16.95,-36.73,False,0,0,0,0,0,,,,
166,RXC J1332.9-2519,203.23,-25.32,True,1,0,0,1,0,0.612202314146692,PMN,,mJy
167,A2063,230.77,8.6,False,0,0,0,0,0,,,,
170,RX J0820.9+0751,125.26,7.87,True,1,0,0,1,0,1.3548205721287154,PMN,,mJy
171,A2415,331.42,-5.59,True,1,0,0,1,0,0.47537823214290226,PMN,,mJy
173,A3128,52.5,-52.6,False,0,0,0,0,0,,,,
174,A1023,157.0,-6.8,False,0,0,0,0,0,,,,
175,A3528,193.67,-29.22,True,2,0,0,1,1,0.6772801509712647,PKSCAT90,0.48,Jy
176,A1205,168.34,2.53,False,0,0,0,0,0,,,,
178,A2734,2.84,-28.86,False,0,0,0,0,0,,,,
179,A2377,326.48,-10.1,False,0,0,0,0,0,,,,
180,RBS 0540,66.46,-8.56,False,0,0,0,0,0,,,,
184,A761,137.65,-10.58,True,1,0,0,1,0,0.17376270009508352,PMN,,mJy
187,A4067,359.83,-60.7,False,0,0,0,0,0,,,,
188,A3825,329.61,-60.4,False,0,0,0,0,0,,,,
189,A1809,208.25,5.16,False,0,0,0,0,0,,,,
192,A4038,356.93,-28.14,False,0,0,0,0,0,,,,
193,A3104,48.58,-45.42,False,0,0,0,0,0,,,,
195,RXC J2125.2-0657,321.3,-6.97,False,0,0,0,0,0,,,,
199,A514,72.05,-20.47,False,0,0,0,0,0,,,,
200,A2589,350.97,16.81,False,0,0,0,0,0,,,,
201,RXC J1416.8-1158,214.21,-11.98,False,0,0,0,0,0,,,,
202,RXC J1459.0-0843,224.76,-8.73,False,0,0,0,0,0,,,,
