cluster_name,ra,dec,csv_meerkat_flag,in_mgcls,mgcls_name,match_type,sarao_obs_count,sarao_proposals,has_meerkat_data,discrepancy,notes
A2029,227.7300,5.7200,0,0,,,1,SCI-20210212-CR-01,1,YES,Should be marked 1 - 1 observations in SARAO archive
A401,44.7400,13.5800,0,0,,,1,SCI-20230907-EO-01,1,YES,Should be marked 1 - 1 observations in SARAO archive
A85,10.4600,-9.3000,1,1,Abell 85,both,2,SCI-20190418-SW-01;SSV-20180624-FC-01,1,,
A3667,303.1300,-56.8300,1,1,Abell 3667,both,2,SCI-20220822-FD-01;SSV-20180624-FC-01,1,,
A3827,330.4800,-59.9500,0,0,,,0,,0,,
A3266,67.8500,-61.4400,1,1,J0431.4-6126,both,1,SSV-20180624-FC-01,1,,
A1651,194.8400,-4.1900,0,0,,,0,,0,,
A754,137.2800,-9.6700,0,0,,,4,SCI-20220822-AB-01,1,YES,Should be marked 1 - 4 observations in SARAO archive
A3571,206.8700,-32.8500,0,0,,,0,,0,,
A3112,49.4900,-44.2400,1,1,J0317.9-4414,both,1,SSV-20180624-FC-01,1,,
A399,44.4600,13.0500,0,0,,,0,,0,,
A2597,351.3300,-12.1300,1,1,Abell 2597,both,1,SSV-20180624-FC-01,1,,
A1650,194.6700,-1.7600,0,0,,,0,,0,,
A2837,13.1900,-80.2700,0,0,,,0,,0,,
RXC J1558.3-1410,239.6000,-14.1700,0,0,,,0,,0,,
A3558,201.9900,-31.5000,1,1,Abell 3558,both,3,SSV-20180624-FC-01;SSV-20210128-SA-01,1,,
A3695,308.7000,-35.8100,0,0,,,1,SCI-20190418-SW-01,1,YES,Should be marked 1 - 1 observations in SARAO archive
A3921,342.4900,-64.4300,0,0,,,0,,0,,
A2426,333.6400,-10.3700,0,0,,,0,,0,,
A3158,55.7200,-53.6400,1,1,J0342.8-5338,both,1,SSV-20180624-FC-01,1,,
RXC J1217.6 + 0339,184.4200,3.6600,0,0,,,1,SCI-20190418-SW-01,1,YES,Should be marked 1 - 1 observations in SARAO archive
A2811,10.5400,-28.5400,1,1,Abell 2811,both,4,SSV-20180624-FC-01,1,,
A780,139.5300,-12.0900,0,0,,,63,SCI-20220822-MS-01;SDQM;SCI-20190418-PA-01;SCI-20230907-AC-01;SCI-20230907-MS-01,1,YES,Should be marked 1 - 63 observations in SARAO archive
A2420,332.5800,-12.1800,0,0,,,0,,0,,
A1285,172.5800,-14.5800,0,0,,,0,,0,,
A3911,341.5800,-52.7300,0,0,,,0,,0,,
A4010,352.8000,-36.5100,0,0,,,0,,0,,
A2055,229.6900,6.2300,0,0,,,0,,0,,
RXC J1539.5-8335,234.8900,-83.5900,0,1,J1539.5-8335,coordinate,2,SSV-20180624-FC-01;SSV-20210128-SA-01,1,YES,Should be marked 1 - cluster is in MGCLS
A1750,202.7100,-1.8700,0,0,,,0,,0,,
A3822,328.5400,-57.8600,0,0,,,0,,0,,
A1307,173.2200,14.4700,0,0,,,0,,0,,
A3814,327.2800,-30.7000,0,0,,,0,,0,,
A2941,26.2600,-53.0100,1,1,J0145.0-5300,both,1,SSV-20180624-FC-01,1,,
A2440,335.9700,-1.6400,0,0,,,0,,0,,
A1644,194.2900,-17.4000,0,0,,,0,,0,,
A1348,175.3500,-12.2700,0,0,,,0,,0,,
RBS 1847,334.5200,-65.1900,0,0,,,0,,0,,
A496,68.4100,-13.2600,0,0,,,0,,0,,
RXC J2344.2-0422,356.0700,-4.3700,0,0,,,0,,0,,
RXC J1215.4-3900,183.8700,-39.0200,0,0,,,0,,0,,
RXC J2313.9-4244,348.4900,-42.7300,0,0,,,0,,0,,
A2721,1.5100,-34.7200,0,0,,,0,,0,,
A2351,323.5700,-13.4800,0,0,,,0,,0,,
RXC J2218.2-0350,334.5700,-3.8300,0,0,,,0,,0,,
A2443,336.5100,17.3800,0,0,,,3,SCI-20210212-TC-01;SCI-20210212-TC-02,1,YES,Should be marked 1 - 3 observations in SARAO archive
A2050,229.0800,0.1000,0,0,,,0,,0,,
APMCC 669,,,0,0,,,0,,0,,
A1736,201.7300,-27.1800,0,0,,,0,,0,,
A2384,328.1000,-19.5700,0,0,,,4,SCI-20210212-VP-02;SCI-20210212-VP-01;SCI-20190418-VP-02,1,YES,Should be marked 1 - 4 observations in SARAO archive
A4059,359.2600,-34.7600,0,0,,,2,SCI-20220822-AM-03,1,YES,Should be marked 1 - 2 observations in SARAO archive
A3998,350.3900,-41.9000,0,0,,,0,,0,,
A2703,1.3400,16.2100,0,0,,,0,,0,,
A2495,342.5900,10.9000,0,0,,,0,,0,,
A3836,332.3500,-51.8200,0,0,,,0,,0,,
A2533,346.8100,-15.2300,0,0,,,0,,0,,
A2556,348.2500,-21.6300,0,0,,,0,,0,,
MKW 3s,230.4600,7.7100,0,0,,,0,,0,,
A3126,52.1600,-55.7100,1,1,J0328.6-5542,both,1,SSV-20180624-FC-01,1,,
A458,56.4800,-24.2800,0,0,,,0,,0,,
A133,15.6800,-21.8700,1,1,Abell 133,both,3,SCI-20190418-SW-01;SSV-20180624-FC-01,1,,
A2052,229.1800,7.0200,0,0,,,0,,0,,
A2428,334.0600,-9.3400,0,0,,,0,,0,,
RXC J0049.4-2931,12.3500,-29.5200,0,0,,,0,,0,,
A119,14.0800,-1.2200,0,0,,,0,,0,,
A2554,348.0900,-21.5000,0,0,,,0,,0,,
A2033,227.8500,6.3200,0,0,,,0,,0,,
ACOS1111,349.7700,-42.1100,0,0,,,3,SSV-20210906-WC-01;SCI-20180516-NG-01,1,YES,Should be marked 1 - 3 observations in SARAO archive
A42,7.1600,-23.6400,0,0,,,0,,0,,
A3395,96.8100,-54.4700,1,1,J0627.2-5428,both,4,SSV-20180624-FC-01;SCI-20230907-BC-01,1,,
A1606,191.1600,-11.9900,0,0,,,0,,0,,
A247,,,0,0,,,0,,0,,
A2670,358.5600,-10.4100,0,0,,,0,,0,,
A3532,194.3200,-30.3800,0,0,,,1,SCI-20190418-OS-01,1,YES,Should be marked 1 - 1 observations in SARAO archive
A763,138.1200,15.9400,0,0,,,0,,0,,
A2051,229.1400,0.9500,0,0,,,0,,0,,
RXC J0034.6-0208,8.6500,-2.1400,0,0,,,0,,0,,
A13,3.4100,-19.5000,1,1,Abell 13,both,1,SSV-20180624-FC-01,1,,
RXC J0034.2-0204,8.5600,-2.0800,0,0,,,0,,0,,
A4068,359.9800,-39.4800,0,0,,,0,,0,,
RXC J1139.4-3327,174.8600,-33.4500,0,0,,,0,,0,,
A2566,349.0300,-20.4600,0,0,,,0,,0,,
RXC J0351.1-8212,57.7900,-82.2200,0,1,J0351.1-8212,coordinate,1,SSV-20180624-FC-01,1,YES,Should be marked 1 - cluster is in MGCLS
A2988,33.2200,-47.1300,0,1,J0212.8-4707,both,1,SSV-20180624-FC-01,1,YES,Should be marked 1 - cluster is in MGCLS
A2871,16.9500,-36.7300,0,0,,,0,,0,,
RXC J1332.9-2519,203.2300,-25.3200,0,0,,,0,,0,,
A2063,230.7700,8.6000,0,0,,,0,,0,,
RX J0820.9+0751,125.2600,7.8700,0,0,,,0,,0,,
A2415,331.4200,-5.5900,0,0,,,0,,0,,
A3128,52.5000,-52.6000,0,0,,,0,,0,,
A1023,157.0000,-6.8000,0,0,,,0,,0,,
A3528,193.6700,-29.2200,0,0,,,0,,0,,
A1205,168.3400,2.5300,0,0,,,0,,0,,
A2734,2.8400,-28.8600,0,0,,,0,,0,,
A2377,326.4800,-10.1000,0,0,,,0,,0,,
RBS 0540,66.4600,-8.5600,0,0,,,0,,0,,
A761,137.6500,-10.5800,0,0,,,0,,0,,
A4067,359.8300,-60.7000,0,0,,,0,,0,,
A3825,329.6100,-60.4000,0,0,,,0,,0,,
A1809,208.2500,5.1600,0,0,,,0,,0,,
A4038,356.9300,-28.1400,1,1,Abell 4038,both,2,SCI-20190418-SW-01;SSV-20180624-FC-01,1,,
A3104,48.5800,-45.4200,1,1,J0314.3-4525,both,1,SSV-20180624-FC-01,1,,
RXC J2125.2-0657,321.3000,-6.9700,0,0,,,0,,0,,
A514,72.0500,-20.4700,0,0,,,1,SCI-20230907-WL-01,1,YES,Should be marked 1 - 1 observations in SARAO archive
A2589,350.9700,16.8100,0,0,,,0,,0,,
RXC J1416.8-1158,214.2100,-11.9800,0,0,,,0,,0,,
RXC J1459.0-0843,224.7600,-8.7300,0,0,,,0,,0,,
